,Date,EAC,Lat,Long,eventkey
763400,2020-01-01,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6678111,-106.0768372,v1
763414,2020-01-01,OTROS ACTOS RELACIONADOS CON LA VIDA Y LA INTEGRIDAD PERSONAL,28.6398176,-106.0468104,v4
763478,2020-01-01,DAÑOS,28.6706449,-105.9771681,p3
763537,2020-01-01,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6666251,-106.0910648,p1
763538,2020-01-01,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.625752,-106.0701176,v1
763543,2020-01-01,TENTATIVA DE HOMICIDIO,28.58103062,-106.02592013,v6
763544,2020-01-01,DAÑOS,28.6640487,-105.948463,p3
763559,2020-01-01,TENTATIVA DE HOMICIDIO,29.04702192,-106.25493305,v6
763565,2020-01-01,DAÑOS,28.64838243,-106.07007353,p3
763617,2020-01-01,OTROS ACTOS RELACIONADOS CON LA VIDA Y LA INTEGRIDAD PERSONAL,28.6822072,-106.0954786,v4
763666,2020-01-01,ROBO A GRANJA O RANCHO SIN VIOLENCIA,28.79542001,-106.17566771,p11
763675,2020-01-01,POSESIÓN DE VEHÍCULO CON REPORTE DE ROBO,28.6364932,-106.0802114,p9
763683,2020-01-01,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.63432039,-106.09622171,p1
763814,2020-01-01,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.7847775,-106.1637192,p0
763900,2020-01-01,VIOLENCIA FAMILIAR,28.6770967,-105.9796383,v0
764031,2020-01-02,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6209493,-106.0810929,v1
764066,2020-01-02,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6849646,-106.1271016,p0
764090,2020-01-02,HOMICIDIO,28.7402542,-106.1012355,v3
764092,2020-01-02,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6853928,-106.0831376,v1
764156,2020-01-02,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6699125,-106.1049942,p1
764159,2020-01-02,ROBO A PERSONA SIN VIOLENCIA,28.728678,-106.1264625,p6
764160,2020-01-02,VIOLENCIA FAMILIAR,28.66986689,-105.9706291,v0
764182,2020-01-02,ROBO A GRANJA O RANCHO SIN VIOLENCIA,28.63900183,-106.00490205,p11
764186,2020-01-02,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.6826173,-106.1036156,p0
764228,2020-01-02,FRAUDE,28.6244766,-106.0989529,p10
764244,2020-01-02,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.77947497,-106.16761654,p0
764268,2020-01-02,DAÑOS,28.6630416,-106.0113823,p3
764365,2020-01-02,DAÑOS,28.6682235,-105.9560402,p3
764493,2020-01-02,ROBO A LOCAL COMERCIAL CON VIOLENCIA,28.6488036,-106.0833759,v1
764532,2020-01-03,DAÑOS,28.5970049,-106.018555,p3
764535,2020-01-03,ROBO A CASA HABITACIÓN SIN VIOLENCIA,28.5871747,-105.9904141,p0
764589,2020-01-03,DAÑOS,28.6624647,-106.0976155,p3
764621,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.65651008,-106.0908881,p1
764625,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6917154,-106.0954019,p1
764637,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6624885,-106.0865997,p1
764662,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.65775488,-105.97169635,p1
764682,2020-01-03,ROBO A GRANJA O RANCHO SIN VIOLENCIA,28.78788562,-106.17417381,p11
764707,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.6734417,-106.1023819,p1
764732,2020-01-03,ROBO A LOCAL COMERCIAL SIN VIOLENCIA,28.66559658,-106.12647036,p1
764753,2020-01-03,VIOLENCIA FAMILIAR,28.6700038,-105.9895322,v0
764773,2020-01-03,DAÑOS,28.6476003,-106.1371936,p3
